USD,EURO,MLC,Fecha
660,760,438,2026-07-16 20:00
660,760,441,2026-07-16 19:00
660,760,441,2026-07-16 18:00
660,760,441,2026-07-16 17:00
660,760,427,2026-07-16 16:00
660,760,427,2026-07-16 15:00
660,760,427,2026-07-16 14:00
660,760,428,2026-07-16 13:00
660,760,427,2026-07-16 12:00
660,760,437,2026-07-16 11:00
660,760,440,2026-07-16 10:00
660,760,440,2026-07-16 09:00
660,760,442,2026-07-16 08:00
660,760,439,2026-07-16 07:00
660,760,439,2026-07-16 06:00
660,760,439,2026-07-16 05:00
660,760,439,2026-07-16 04:00
660,760,439,2026-07-16 03:00
660,760,439,2026-07-16 02:00
660,760,439,2026-07-16 01:00
660,760,443,2026-07-16 00:00
660,760,443,2026-07-15 23:00
660,760,442,2026-07-15 22:00
660,760,442,2026-07-15 21:00
660,760,442,2026-07-15 20:00
660,760,442,2026-07-15 19:00
660,760,442,2026-07-15 18:00
660,760,442,2026-07-15 17:00
660,760,433,2026-07-15 16:00
660,760,433,2026-07-15 15:00
660,760,425,2026-07-15 14:00
660,760,426,2026-07-15 13:00
660,757,425,2026-07-15 12:00
660,758,440,2026-07-15 11:00
660,757,455,2026-07-15 10:00
660,755,459,2026-07-15 09:00
660,757,458,2026-07-15 08:00
660,760,456,2026-07-15 07:00
660,760,448,2026-07-15 06:00
660,760,448,2026-07-15 05:00
660,760,448,2026-07-15 04:00
660,760,448,2026-07-15 03:00
660,760,448,2026-07-15 02:00
660,760,448,2026-07-15 01:00
660,760,456,2026-07-15 00:00
660,760,448,2026-07-14 23:00
660,760,455,2026-07-14 22:00
660,760,455,2026-07-14 21:00
660,760,455,2026-07-14 20:00
660,760,455,2026-07-14 19:00
660,760,454,2026-07-14 18:00
660,760,451,2026-07-14 17:00
660,760,451,2026-07-14 16:00
660,760,450,2026-07-14 15:00
660,760,450,2026-07-14 14:00
660,760,452,2026-07-14 13:00
660,760,451,2026-07-14 12:00
660,760,450,2026-07-14 11:00
660,760,451,2026-07-14 10:00
660,757,451,2026-07-14 09:00
660,755,460,2026-07-14 08:00
660,760,460,2026-07-14 07:00
660,760,460,2026-07-14 06:00
660,760,460,2026-07-14 05:00
